City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
562,kachkanar,58.7,59.4948,2.97,93,100,4.85,RU,1679799720
563,tsumeb,-19.2333,17.7167,19.26,82,100,1.81,NA,1679799721
564,venice,27.0998,-82.4543,24.43,97,0,2.57,US,1679799586
565,kavaratti,10.5669,72.642,27.28,70,20,3.78,IN,1679799722
566,riyadh,24.6877,46.7219,22.08,25,60,7.83,SA,1679799705
567,krasnyy chikoy,50.3643,108.7512,-0.15,75,99,2.39,RU,1679799723
568,plettenberg bay,-34.0527,23.3716,16.76,87,74,6.73,ZA,1679799723
569,inhambane,-23.865,35.3833,23.38,81,20,2.26,MZ,1679799724
570,envira,-7.3,-70.2167,22.34,96,100,0.92,BR,1679799725
571,muswellbrook,-32.2667,150.9,25.14,74,92,1.58,AU,1679799726
572,ambon,-3.6954,128.1814,30.08,74,40,2.06,ID,1679799727
573,krasnoselkup,65.7,82.4667,-13.72,97,100,1.59,RU,1679799727
574,antanifotsy,-19.65,47.3167,14.6,94,100,0.72,MG,1679799728
